movie_title,imdb_score,profit
"Tropic Thunder",7,18416702
"The Girl with the Dragon Tattoo",7.8,12515793
"Die Hard with a Vengeance",7.6,10012500
"Sherlock Holmes",7.6,119019489
"Atlantis: The Lost Empire",6.8,-35962961
"Alvin and the Chipmunks: The Road Chip",5,-4115185
Valkyrie,7.1,8077470
"You Don't Mess with the Zohan",5.5,10018837
Pixels,5.6,-9252415
"A.I. Artificial Intelligence",7.1,-21383311
"The Haunted Mansion",4.9,-14182006
Contact,7.4,10853835
"Hollow Man",5.7,-21790660
"The Interpreter",6.4,-7484640
"Percy Jackson: Sea of Monsters",5.9,-21441338
"Lara Croft Tomb Raider: The Cradle of Life",5.5,-29346242
"Now You See Me 2",6.9,-25314641
"The Saint",6.2,-6644564
"Spy Game",7,-91973129
"Mission to Mars",5.6,-29125385
Rio,7,53618384
"Bicentennial Man",6.8,-41779224
Volcano,5.4,-42525888
"The Devil's Own",6.1,-43122835
"K-19: The Widowmaker",6.7,-64831323
"Cinderella Man",8,"Quality Anomaly"
"The Nutcracker in 3D",4.4,-89809438
Seabiscuit,7.3,33147445
Twister,6.3,149688385
"Cast Away",7.7,143630478
"Happy Feet",6.5,97992827
"The Bourne Supremacy",7.8,101049130
"Air Force One",6.4,87620724
"Ocean's Eleven",7.8,98405771
"The Three Musketeers",5.8,-54684676
"Hotel Transylvania",7.1,63313048
Enchanted,7.1,42706877
Hannibal,8.6,NULL
"Safe House",6.8,41149655
"102 Dalmatians",4.8,-18058441
"Tower Heist",6.2,3009155
"The Holiday",6.9,-21775151
"Enemy of the State",7.3,21544445
"It's Complicated",6.6,27703470
"Ocean's Thirteen",6.9,32144465
"Open Season",6.2,-696442
Divergent,6.7,65832203
"Enemy at the Gates",7.6,-16603219
"The Rundown",6.7,-37407175
"Last Action Hero",6.2,-19983606
"Memoirs of a Geisha",7.3,-27989147
"The Fast and the Furious: Tokyo Drift",6,-22505025
"Arthur Christmas",7.1,-53559509
"Meet Joe Black",7.1,-45393665
"Collateral Damage",5.5,-44951668
"All That Jazz",7.8,NULL
"Mirror Mirror",5.6,-20066330
"Scott Pilgrim vs. the World",7.5,-28505730
"The Core",5.4,-28888740
"Nutty Professor II: The Klumps",4.3,58307945
Scooby-Doo,4.9,69288182
Click,6.4,67340146
"Cats & Dogs: The Revenge of Kitty Galore",4.3,-41424284
Jumper,6.1,-4829854
"Hellboy II: The Golden Army",7,-9245330
Zodiac,7.7,-31951647
"The 6th Day",5.9,-47456299
"Bruce Almighty",6.7,161589580
"The Expendables",6.5,22981571
"Mission: Impossible",7.1,100965237
"The Hunger Games",7.3,329999255
"The Hangover Part II",6.5,174455986
"Batman Returns",7,82831698
"Over the Hedge",6.8,75019340
"Lilo & Stitch",7.2,65771527
"Charlotte's Web",6.4,NULL
"Deep Impact",6.1,65459099
"RED 2",6.7,-30784021
"The Longest Yard",6.4,76115031
"Alvin and the Chipmunks: Chipwrecked",4.4,58103929
"Grown Ups 2",5.4,53668525
"Get Smart",6.5,50313314
"Something's Gotta Give",6.7,44590960
"Shutter Island",8.1,47968405
"Four Christmases",5.6,40136047
Robots,6.3,53200012
Face/Off,7.3,32225777
"Bedtime Stories",6.1,29993847
"Road to Perdition",7.7,24054514
"Just Go with It",6.4,23028109
Daredevil,8.8,NULL
"Con Air",6.8,26087161
"Eagle Eye",6.6,21111837
"Cold Mountain",7.2,16632614
"The Book of Eli",6.9,14822707
Flubber,5.2,12969824
"The Haunting",4.9,11188905
"Space Jam",6.3,10443603
"The Pink Panther",5.6,17226474
"Conspiracy Theory",6.7,1081498
Fury,7.6,17707116
"Six Days Seven Nights",5.7,4329966
"Yogi Bear",4.6,20169068
"Spirit: Stallion of the Cimarron",7,-6784690
Zookeeper,5.2,360866
"Lost in Space",5.1,-10897090
"The Manchurian Candidate",6.6,-14051289
"D  j   Vu",7,NULL
"Hotel Transylvania 2",6.7,89692572
Bewitched,7.6,NULL
"Fantasia 2000",7.3,-19492772
"The Time Machine",5.9,-23315181
"Mighty Joe Young",5.6,-39371991
Swordfish,6.5,-10227031
"The Legend of Zorro",5.9,-29643614
"What Dreams May Come",7,-29649103
"Little Nicky",5.3,-40557129
"The Brothers Grimm",5.9,-50100362
"Mars Attacks!",6.3,-32245792
Evolution,6.4,NULL
"The Edge",6.9,NULL
Surrogates,6.3,-41457582
"Thirteen Days",7.3,-45433254
Daylight,5.8,-47114435
"Walking with Dinosaurs 3D",5.2,-43926768
"Battlefield Earth",2.4,-22528315
"Looney Tunes: Back in Action",5.7,-59049180
Nine,5.8,-60326576
Timeline,5.6,-60519261
"The Postman",6,-62406609
"Babe: Pig in the City",5.8,-61682000
"The Last Witch Hunter",6,-62643910
"Red Planet",5.7,-52526755
"Arthur and the Invisibles",6,-70868670
Oceans,7.8,-20593594
"A Sound of Thunder",4.2,-50108179
Pompeii,5.6,-56780252
"Top Cat Begins",4.4,NULL
"A Beautiful Mind",8.2,112708996
"The Lion King",8.5,377783777
"Journey 2: The Mysterious Island",5.8,24812241
"Cloudy with a Chance of Meatballs 2",6.5,41793567
"Red Dragon",7.2,14930005
Hidalgo,6.7,-32713269
"Jack and Jill",3.4,-4841843
"2 Fast 2 Furious",5.9,51083765
"The Little Prince",7.8,-79860848
"The Invasion",5.9,-64928486
"The Adventures of Rocky & Bullwinkle",4.1,-49999390
"The Secret Life of Pets",6.8,248505540
"The League of Extraordinary Gentlemen",5.8,-11537400
"Despicable Me 2",7.5,292049635
"Independence Day",6.9,231124059
"The Lost World: Jurassic Park",6.5,156074524
Madagascar,6.9,118136719
"Children of Men",7.9,-40713572
X-Men,7.4,82299717
Wanted,6.7,59568845
"The Rock",7.4,59006721
"Ice Age: The Meltdown",6.9,115329763
"50 First Dates",6.8,45776832
Hairspray,6.7,43823091
"Exorcist: The Beginning",5.1,-8185137
"Inspector Gadget",4.1,22360069
"Now You See Me",7.3,42698894
"Grown Ups",6,82001186
"The Terminal",7.3,17032279
Constantine,7.5,NULL
"Hotel for Dogs",5.4,38023275
"Vertical Limit",5.9,-6526640
"Charlie Wilson's War",7.1,-8363615
"Shark Tale",6,85762022
Dreamgirls,6.5,33338338
Life,8.3,NULL
"Be Cool",5.7,2808744
Munich,7.6,-22620910
"Tears of the Sun",6.6,-26573039
Killers,5.4,-27999515
"The Man from U.N.C.L.E.",7.3,-29565557
Spanglish,6.5,-37955679
"Monster House",6.6,-1338990
Bandits,6.6,-38476729
"First Knight",5.9,-17399565
"Anna and the King",6.7,-35748872
Immortals,6.1,8503161
Hostage,6.6,-17363557
"Titan A.E.",6.6,-52248021
"Hollywood Homicide",5.3,-44986654
Soldier,6,-60432117
Carriers,6,NULL
Monkeybone,4.7,-69590483
"Flight of the Phoenix",6.1,-23990820
Unbreakable,7.2,19999143
Minions,6.4,262029560
"Sucker Punch",6.1,-45618284
"Snake Eyes",5.9,-13414611
Sphere,6,-38023633
"The Angry Birds Movie",6.3,34225164
"Fool's Gold",5.6,224196
"Funny People",6.4,-23185810
"The Kingdom",7.1,-22543550
"Talladega Nights: The Ballad of Ricky Bobby",6.6,75213377
"Dr. Dolittle 2",4.6,40950721
Braveheart,8.4,3600000
Jarhead,7.1,-7352460
"The Simpsons Movie",7.4,108132370
"The Majestic",6.9,-44203958
Driven,4.5,-39383131
"Two Brothers",7.1,-40712370
"The Village",6.5,54195633
"Doctor Dolittle",5.3,72656464
Signs,6.7,155965690
"Shrek 2",7.2,286471036
Cars,7.2,124052771
"Runaway Bride",5.5,82149590
xXx,5.8,71204016
"The SpongeBob Movie: Sponge Out of Water",6,88495848
Ransom,6.6,56448821
"Inglourious Basterds",8.3,45523073
Hook,6.7,49654900
"Die Hard 2",7.1,47541000
S.W.A.T.,6,36643346
"Sleepy Hollow",7.5,NULL
"Vanilla Sky",6.9,32614858
"Lady in the Water",5.6,-27727253
"AVP: Alien vs. Predator",5.6,20281096
"Alvin and the Chipmunks: The Squeakquel",4.5,144613391
"We Were Soldiers",7.1,3120196
"Olympus Has Fallen",6.5,28895417
"Star Trek: Insurrection",6.4,12117571
"Battle Los Angeles",5.8,13552429
"Big Fish",8,"Quality Anomaly"
Wolf,6.2,-4988000
"War Horse",7.2,13883359
"The Monuments Men",6.1,8031620
"The Abyss",7.6,-15278000
"Wall Street: Money Never Sleeps",6.3,-17525384
"Dracula Untold",6.3,-14057170
"The Siege",6.3,-29067628
Stardust,7.7,-31654597
"Seven Years in Tibet",7,-32098491
"The Dilemma",5.3,-21569645
"Bad Company",5.6,-39842984
Doom,5.2,-31968750
"I Spy",5.4,-36894400
"Underworld: Awakening",6.4,-7678961
"Rock of Ages",5.9,-36490658
"Hart's War",6.3,-40923185
"Killer Elite",6.5,-9906393
Rollerball,3,-51009458
"Ballistic: Ecks vs. Sever",3.6,-55705158
"Hard Rain",5.8,-50180506
"Osmosis Jones",6.2,-56403089
"Legends of Oz: Dorothy's Return",5.6,-61539010
Blackhat,5.4,-62902875
"Sky Captain and the World of Tomorrow",6.1,-32239920
"Basic Instinct 2",4.2,-64148812
"Escape Plan",6.7,-24878709
"The Legend of Hercules",4.2,-51178721
"The Sum of All Fears",6.4,50471320
"The Twilight Saga: Eclipse",4.9,232523113
"The Score",6.8,3069884
"Despicable Me",7.7,182501645
"Money Train",5.6,-32675768
"Ted 2",6.4,13257500
Agora,7.2,-69382160
"Mystery Men",6,-35344410
"Hall Pass",5.9,9045037
"The Insider",7.9,-39034803
"The Finest Hours",6.8,NULL
"Body of Lies",7.1,-30619558
"Dinner for Schmucks",5.9,NULL
"Abraham Lincoln: Vampire Hunter",5.9,-31483987
Entrapment,6.2,21704396
"Last Man Standing",7.4,NULL
"The X Files",7,17892374
"The Last Legion",5.4,-29067940
"Saving Private Ryan",8.6,146119491
"Need for Speed",6.5,-22431493
"What Women Want",6.4,112805123
"Ice Age",7.6,117387405
Dreamcatcher,5.5,-34314732
Lincoln,7.4,117204440
"The Matrix",8.7,108383253
"Apollo 13",7.6,110071312
"The Santa Clause 2",5.5,79225854
"Les Mis  rables",7.6,87775460
"You've Got Mail",6.5,50731542
"Step Brothers",6.9,35468793
"The Mask of Zorro",6.7,28771072
